"sacar","to take out","Voy a sacar la basura.","I am going to take out the trash.",3\
"necesitar","to need","Necesito dormir m\'e1s.","I need to sleep more.",3\
"mantener","to maintain","Debes mantener la calma.","You must stay calm.",3\
"resultar","to result","Esto puede resultar dif\'edcil.","This could be difficult.",3\
"leer","to read","Me gusta leer libros.","I like to read books.",3\
"caer","to fall","La hoja cae del \'e1rbol.","The leaf falls from the tree.",3\
"cambiar","to change","Quiero cambiar mi vida.","I want to change my life.",3\
"presentar","to present","Voy a presentar mi proyecto.","I am going to present my project.",3\
"crear","to create","Ella crea arte hermoso.","She creates beautiful art.",3\
"abrir","to open","Voy a abrir la ventana.","I am going to open the window.",3\
"considerar","to consider","Voy a considerar tu oferta.","I am going to consider your offer.",3\
"o\'edr","to hear","Puedo o\'edr m\'fasica.","I can hear music.",3\
"acabar","to finish/end","Acabo de llegar.","I just arrived.",3\
"convertir","to convert/transform","El agua se convierte en vapor.","Water turns into vapor.",3\
"ganar","to win/earn","Quiero ganar el juego.","I want to win the game.",3\
"formar","to form/shape","Las nubes forman figuras.","The clouds form shapes.",3\
"traer","to bring","Voy a traer el postre.","I am going to bring the dessert.",3\
"partir","to leave/depart","El tren va a partir.","The train is going to depart.",3\
"morir","to die","La planta muri\'f3 sin agua.","The plant died without water.",3\
"aceptar","to accept","Ella acept\'f3 la invitaci\'f3n.","She accepted the invitation.",3\
"realizar","to carry out","Voy a realizar un estudio.","I am going to conduct a study.",3\
"suponer","to suppose","Supongo que tienes raz\'f3n.","I suppose you are right.",3\
"comprender","to understand","Comprendo tus sentimientos.","I understand your feelings.",3\
"lograr","to achieve","Quiero lograr mis metas.","I want to achieve my goals.",3\
"explicar","to explain","\'bfPuedes explicar eso, por favor?","Can you explain that, please?",3\
"preguntar","to ask","Voy a preguntar al profesor.","I am going to ask the teacher.",3\
"tocar","to touch","No toques eso.","Don't touch that.",3\
"reconocer","to recognize","La reconoc\'ed en la calle.","I recognized her on the street.",3\
"estudiar","to study","Necesito estudiar para el examen.","I need to study for the exam.",3\
"alcanzar","to reach","Quiero alcanzar la cima.","I want to reach the top.",3\
"nacer","to be born","Nac\'ed en abril.","I was born in April.",3\
"dirigir","to direct","Ella dirige la empresa.","She runs the company.",3\
"correr","to run","Me gusta correr en el parque.","I like to run in the park.",3\
"utilizar","to use","Puedes utilizar mi tel\'e9fono.","You can use my phone.",3\
"pagar","to pay","Tengo que pagar la cuenta.","I have to pay the bill.",3\
"ayudar","to help","\'bfPuedes ayudarme, por favor?","Can you help me, please?",3\
"gustar","to like","Me gusta el chocolate.","I like chocolate.",3\
"jugar","to play","Vamos a jugar f\'fatbol.","Let's play soccer.",3\
"escuchar","to listen","Me gusta escuchar m\'fasica.","I like to listen to music.",3\
"cumplir","to fulfill","Quiero cumplir mis sue\'f1os.","I want to fulfill my dreams.",3\
"ofrecer","to offer","Me ofrecieron un trabajo.","I was offered a job.",3\
"descubrir","to discover","Descubr\'ed un nuevo caf\'e9.","I discovered a new cafe.",3\
"levantar","to lift/raise","Voy a levantar pesas.","I am going to lift weights.",3\
"intentar","to try","Voy a intentar de nuevo.","I am going to try again.",3\
"usar","to use","Uso mi computadora todos los d\'edas.","I use my computer every day.",3\
"decidir","to decide","Necesito decidir qu\'e9 hacer.","I need to decide what to do.",3\
"repetir","to repeat","\'bfPuedes repetir eso?","Can you repeat that?",3\
"aprender","to learn","Quiero aprender a bailar.","I want to learn to dance.",3\
"descansar","to rest","Necesito descansar un poco.","I need to rest a bit.",3\
"andar","to walk","Vamos a andar por el parque.","Let's walk through the park.",3\
"caminar","to walk","Me gusta caminar al trabajo.","I like to walk to work.",3\
"mirar","to look/watch","Voy a mirar la televisi\'f3n.","I am going to watch TV.",3\
"bajar","to go down","Voy a bajar las escaleras.","I am going down the stairs.",3\
"crecer","to grow","La planta crece r\'e1pido.","The plant grows fast.",3\
"cerrar","to close","Por favor, cierra la ventana.","Please close the window.",3\
"dormir","to sleep","Necesito dormir temprano.","I need to sleep early.",3\
"continuar","to continue","Vamos a continuar ma\'f1ana.","We will continue tomorrow.",3\
"llorar","to cry","El beb\'e9 est\'e1 llorando.","The baby is crying.",3\
"cantar","to sing","Me gusta cantar en la ducha.","I like to sing in the shower.",3\
"re\'edr","to laugh","Ella siempre me hace re\'edr.","She always makes me laugh.",3\
"subir","to go up","Vamos a subir la monta\'f1a.","We are going to climb the mountain.",3\
"comer","to eat","Vamos a comer pizza.","We are going to eat pizza.",3\
"beber","to drink","Quiero beber agua.","I want to drink water.",3\
"vivir","to live","Vivo con mi familia.","I live with my family.",3\
"enviar","to send","Voy a enviar un correo.","I am going to send an email.",3\
"esperar","to wait/hope","Voy a esperar aqu\'ed.","I am going to wait here.",3\
"buscar","to search/look for","Voy a buscar mi libro.","I am going to look for my book.",3\
"olvidar","to forget","Olvid\'e9 mi contrase\'f1a.","I forgot my password.",3\
"creer","to believe","Creo en ti.","I believe in you.",3\
"pensar","to think","Pienso que es una buena idea.","I think it's a good idea.",3\
"conocer","to know/meet","Conozco a tu hermana.","I know your sister.",3\
"hacer","to do/make","Hago ejercicio cada d\'eda.","I exercise every day.",4\
"poder","to be able/can","Puedo hablar espa\'f1ol.","I can speak Spanish.",4\
"decir","to say/tell","Dije la verdad.","I told the truth.",4\
"ver","to see","Veo el mar desde aqu\'ed.","I can see the sea from here.",5\
"dar","to give","Dame tu mano.","Give me your hand.",5\
"bajar","to go down","Voy a bajar las escaleras.","I am going down the stairs.",3\
"crecer","to grow","Las plantas crecen r\'e1pido en primavera.","Plants grow fast in spring.",3\
"cerrar","to close","Por favor, cierra la puerta.","Please close the door.",3\
"dormir","to sleep","Necesito dormir ocho horas.","I need to sleep eight hours.",3\
"continuar","to continue","Vamos a continuar con la lecci\'f3n.","Let's continue with the lesson.",3\
"llorar","to cry","El ni\'f1o comenz\'f3 a llorar.","The child started to cry.",3\
"cantar","to sing","Ella sabe cantar muy bien.","She can sing very well.",3\
"re\'edr","to laugh","Nos hizo re\'edr con su chiste.","He made us laugh with his joke.",3\
"subir","to go up","Vamos a subir la monta\'f1a.","We are going to go up the mountain.",3\
"comer","to eat","Me gusta comer frutas.","I like to eat fruits.",3\
"beber","to drink","Voy a beber agua.","I am going to drink water.",3\
"vivir","to live","Vivimos en una casa grande.","We live in a big house.",3\
"enviar","to send","Te voy a enviar un mensaje.","I will send you a message.",3\
"esperar","to wait/hope","Tenemos que esperar el autob\'fas.","We have to wait for the bus.",3\
"buscar","to search/look for","Voy a buscar mi tel\'e9fono.","I am going to look for my phone.",3\
"olvidar","to forget","No debes olvidar tu cita.","You must not forget your appointment.",3\
"creer","to believe","Creo en la honestidad.","I believe in honesty.",3\
"pensar","to think","Pienso que es una buena idea.","I think it\'92s a good idea.",3\
"conocer","to know/meet","Quiero conocer a tu amigo.","I want to meet your friend.",3\
"entender","to understand","\'bfEntiendes lo que digo?","Do you understand what I\'92m saying?",3\
"llegar","to arrive","El paquete llegar\'e1 ma\'f1ana.","The package will arrive tomorrow.",2\
"salir","to leave","Vamos a salir de casa temprano.","We are leaving the house early.",3\
"venir","to come","\'bfPuedes venir a mi fiesta?","Can you come to my party?",3\
"volver","to return","Ella volver\'e1 pronto.","She will return soon.",3\
"decir","to say/tell","Tengo algo que decirte.","I have something to tell you.",4\
"hacer","to do/make","Voy a hacer una tarta.","I am going to make a cake.",4\
"poder","to be able/can","\'bfPodemos ir al parque?","Can we go to the park?",4\
"ver","to see","Quiero ver el amanecer.","I want to see the sunrise.",5\
"dar","to give","Voy a dar una clase hoy.","I am going to give a class today.",5\
"saber","to know","\'bfSabes la respuesta?","Do you know the answer?",5\
"querer","to want","Quiero aprender m\'e1s.","I want to learn more.",2\
"llegar","to arrive","Llegu\'e9 tarde a la reuni\'f3n.","I arrived late to the meeting.",2\
"pasar","to pass/happen","Pas\'e9 por tu casa ayer.","I passed by your house yesterday.",2\
"deber","should/must","Deber\'edas descansar m\'e1s.","You should rest more.",2\
"poner","to put","Puedes poner la mesa.","You can set the table.",2\
"parecer","to seem","Parece que va a llover.","It looks like it's going to rain.",2\
"quedar","to stay","Voy a quedar en casa hoy.","I am going to stay home today.",2\
"creer","to believe","No puedo creer lo que dijo.","I can't believe what he/she said.",3\
"hablar","to speak","\'bfHablas espa\'f1ol?","Do you speak Spanish?",3\
"llevar","to carry/wear","Ella lleva un vestido azul.","She is wearing a blue dress.",3\
"dejar","to leave/allow","Puedes dejar tus cosas aqu\'ed.","You can leave your things here.",3\
"seguir","to follow","Por favor, sigue las instrucciones.","Please follow the instructions.",3\
"encontrar","to find","No puedo encontrar mis llaves.","I can't find my keys.",3\
"llamar","to call","Voy a llamar al doctor.","I am going to call the doctor.",3\
"venir","to come","Ven aqu\'ed, por favor.","Come here, please.",3\
"pensar","to think","Estoy pensando en viajar.","I am thinking about traveling.",3\
"salir","to go out","Salimos a cenar anoche.","We went out for dinner last night.",3\
"volver","to return","Volver\'e9 en una hora.","I will return in an hour.",3\
"tomar","to take","Voy a tomar un descanso.","I am going to take a break.",3\
"conocer","to know/meet","Conozco ese restaurante.","I know that restaurant.",3\
"vivir","to live","Viv\'ed en Espa\'f1a por un a\'f1o.","I lived in Spain for a year.",3\
"sentir","to feel","Siento mucho lo ocurrido.","I am very sorry for what happened.",3\
"trabajar","to work","Trabajo en una empresa grande.","I work in a big company.",3\
"escribir","to write","Ella escribe poes\'eda.","She writes poetry.",3\
"perder","to lose","Perd\'ed mis gafas.","I lost my glasses.",3\
"producir","to produce","La f\'e1brica produce zapatos.","The factory produces shoes.",3\
"ocurrir","to occur","No s\'e9 qu\'e9 ocurri\'f3.","I don't know what happened.",3\
"entender","to understand","No entiendo el problema.","I don't understand the problem.",3\
"pedir","to ask for","Voy a pedir una pizza.","I am going to order a pizza.",3\
"recibir","to receive","Recib\'ed tu carta.","I received your letter.",3\
"recordar","to remember","Recuerdo nuestra primera reuni\'f3n.","I remember our first meeting.",3\
"terminar","to finish","Necesito terminar este informe.","I need to finish this report.",3\
"permitir","to allow","No se permite fumar aqu\'ed.","Smoking is not allowed here.",3\
"aparecer","to appear","Un arco\'edris apareci\'f3 en el cielo.","A rainbow appeared in the sky.",3\
"conseguir","to get","Consegu\'ed entradas para el concierto.","I got tickets for the concert.",3\
"comenzar","to begin","La pel\'edcula comenzar\'e1 pronto.","The movie will start soon.",3\
"servir","to serve","El camarero sirve la comida.","The waiter serves the food.",3\
"sacar","to take out","Puedes sacar la basura.","You can take out the trash.",3\
"necesitar","to need","Necesito tu ayuda.","I need your help.",3\
"mantener","to maintain","Debemos mantener la calma.","We must stay calm.",3\
"leer","to read","Estoy leyendo un buen libro.","I am reading a good book.",3\
"caer","to fall","Las hojas caen en oto\'f1o.","The leaves fall in autumn.",3\
"cambiar","to change","Voy a cambiar de trabajo.","I am going to change jobs.",3\
"presentar","to present","Voy a presentar mi idea.","I am going to present my idea.",3\
"crear","to create","Ella crea hermosas pinturas.","She creates beautiful paintings.",3\
"abrir","to open","Puedes abrir la ventana.","You can open the window.",3\
"considerar","to consider","Voy a considerar tu propuesta.","I will consider your proposal.",3\
"o\'edr","to hear","\'bfOyes ese ruido?","Do you hear that noise?",3\
"acabar","to finish","Acabo de terminar mi tarea.","I just finished my homework.",3\
"convertir","to convert","Podemos convertir d\'f3lares a euros.","We can convert dollars to euros.",3\
"ganar","to win/earn","Ganamos el partido.","We won the game.",3\
"formar","to form","Las estrellas forman una constelaci\'f3n.","The stars form a constellation.",3\
"traer","to bring","Voy a traer postre.","I am going to bring dessert.",3\
"partir","to leave","El avi\'f3n partir\'e1 a las 6.","The plane will depart at 6.",3\
"morir","to die","La planta muri\'f3 sin agua.","The plant died without water.",3\
"aceptar","to accept","Ella acept\'f3 el trabajo.","She accepted the job.",3\
"realizar","to carry out","Voy a realizar un experimento.","I am going to carry out an experiment.",3\
"suponer","to suppose","Supongo que est\'e1s cansado.","I suppose you are tired.",3\
"comprender","to understand","Comprendo tus razones.","I understand your reasons.",3\
"lograr","to achieve","Logr\'e9 mis objetivos.","I achieved my goals.",3\
"explicar","to explain","El profesor explica la lecci\'f3n.","The teacher explains the lesson.",3\
"preguntar","to ask","Voy a preguntar por direcciones.","I am going to ask for directions.",3\
"tocar","to touch","No toques el fuego.","Don't touch the fire.",3\
"reconocer","to recognize","No te reconoc\'ed con ese sombrero.","I didn't recognize you with that hat.",3\
"estudiar","to study","Estudio espa\'f1ol cada d\'eda.","I study Spanish every day.",3\
"alcanzar","to reach","Alcanc\'e9 la cima de la monta\'f1a.","I reached the top of the mountain.",3\
"nacer","to be born","Mi hermana naci\'f3 en junio.","My sister was born in June.",3\
"dirigir","to direct","\'c9l dirige la empresa.","He runs the company.",3\
"correr","to run","Corro cinco kil\'f3metros al d\'eda.","I run five kilometers a day.",3\
"utilizar","to use","Puedes utilizar mi bol\'edgrafo.","You can use my pen.",3\
"pagar","to pay","Necesito pagar la cuenta.","I need to pay the bill.",3\
"ayudar","to help","Ella me ayuda con el trabajo.","She helps me with work.",3\
"gustar","to like","Me gusta el helado.","I like ice cream.",3\
"jugar","to play","Jugamos al f\'fatbol los s\'e1bados.","We play soccer on Saturdays.",3\
"escuchar","to listen","Escucho m\'fasica cl\'e1sica.","I listen to classical music.",3\
"cumplir","to fulfill","Cumpl\'ed mis promesas.","I kept my promises.",3\
"ofrecer","to offer","Te ofrezco mi apoyo.","I offer you my support.",3\
"descubrir","to discover","Descubrimos un nuevo caf\'e9.","We discovered a new cafe.",3\
"levantar","to lift","Puedo levantar 50 kilos.","I can lift 50 kilos.",3\
"intentar","to try","Voy a intentar de nuevo.","I am going to try again.",3\
"usar","to use","Uso lentes para leer.","I wear glasses to read.",3\
"decidir","to decide","Decid\'ed estudiar medicina.","I decided to study medicine.",3\
"repetir","to repeat","\'bfPuedes repetir la pregunta?","Can you repeat the question?",3\
"aprender","to learn","Aprendo algo nuevo cada d\'eda.","I learn something new every day.",3\
"correr","to run","Corr\'ed una marat\'f3n el a\'f1o pasado.","I ran a marathon last year.",3\
"explicar","to explain","Necesito que me expliques esto.","I need you to explain this to me.",3\
"preguntar","to ask","Le pregunt\'e9 su nombre.","I asked him/her their name.",3\
"tocar","to touch","La m\'fasica me toca el coraz\'f3n.","The music touches my heart.",3\
"reconocer","to recognize","Ella reconoce su error.","She recognizes her mistake.",3\
"estudiar","to study","Estudiamos juntos para el examen.","We study together for the exam.",3\
"alcanzar","to reach","Alcanzamos nuestras metas.","We reach our goals.",3\
"nacer","to be born","Un nuevo d\'eda nace.","A new day is born.",3\
"dirigir","to direct","Dirijo un equipo de ventas.","I lead a sales team.",3\
"correr","to run","Ella corre r\'e1pido.","She runs fast.",3\
"utilizar","to use","Utilizo mi computadora para trabajar.","I use my computer to work.",3\
"pagar","to pay","Pagu\'e9 las facturas.","I paid the bills.",3\
"ayudar","to help","Ayudo a mis vecinos.","I help my neighbors.",3\
"gustar","to like","Nos gusta viajar.","We like to travel.",3\
"jugar","to play","Los ni\'f1os juegan en el parque.","The children play in the park.",3\
"escuchar","to listen","Escucha atentamente.","Listen carefully.",3\
"cumplir","to fulfill","Cumplimos con los requisitos.","We meet the requirements.",3\
"ofrecer","to offer","Ofrecen buenos descuentos.","They offer good discounts.",3\
"descubrir","to discover","Descubr\'ed un atajo.","I discovered a shortcut.",3\
"levantar","to lift","Levanto pesas en el gimnasio.","I lift weights at the gym.",3\
"intentar","to try","Intentamos resolver el problema.","We try to solve the problem.",3\
"usar","to use","Uso mi tel\'e9fono para todo.","I use my phone for everything.",3\
"decidir","to decide","Decidimos mudarnos.","We decided to move.",3\
"repetir","to repeat","Repito el ejercicio.","I repeat the exercise.",3\
"aprender","to learn","Ella aprende r\'e1pido.","She learns quickly.",3\
"descansar","to rest","Necesito descansar despu\'e9s del trabajo.","I need to rest after work.",3\
"andar","to walk","Andamos por el parque cada tarde.","We walk through the park every afternoon.",3\
"caminar","to walk","Me gusta caminar por la playa.","I like to walk on the beach.",3\
"mirar","to look/watch","Miramos las estrellas anoche.","We watched the stars last night.",3\
"bajar","to go down","El precio baj\'f3 este mes.","The price went down this month.",3\
"crecer","to grow","Los ni\'f1os crecen r\'e1pido.","Children grow fast.",3\
"cerrar","to close","La tienda cierra a las ocho.","The store closes at eight.",3\
"dormir","to sleep","Duermo ocho horas diarias.","I sleep eight hours daily.",3\
"continuar","to continue","Continuaremos ma\'f1ana.","We will continue tomorrow.",3\
"llorar","to cry","Ella llor\'f3 de alegr\'eda.","She cried with joy.",3\
"cantar","to sing","Cantamos en el coro.","We sing in the choir.",3\
"re\'edr","to laugh","Nos re\'edmos con la pel\'edcula.","We laughed at the movie.",3\
"subir","to go up","Subimos al autob\'fas.","We get on the bus.",3\
"comer","to eat","Comemos juntos los domingos.","We eat together on Sundays.",3\
"beber","to drink","Bebemos agua fresca.","We drink fresh water.",3\
"vivir","to live","Vivimos en el campo.","We live in the countryside.",3\
"enviar","to send","Envi\'f3 la carta ayer.","He/She sent the letter yesterday.",3\
"esperar","to wait/hope","Espero que vengas.","I hope you come.",3\
"buscar","to search/look for","Buscamos soluciones.","We look for solutions.",3\
"olvidar","to forget","No olvides llamar.","Don't forget to call.",3\
"descubrir","to discover","Descubri\'f3 una isla.","He/She discovered an island.",3\
"permitir","to allow","No permiten fotos aqu\'ed.","They do not allow photos here.",3\
"aparecer","to appear","La luna apareci\'f3 entre las nubes.","The moon appeared between the clouds.",3\
"conseguir","to get","Conseguimos entradas para el concierto.","We got tickets for the concert.",3\
"comenzar","to begin","Comenzamos el proyecto hoy.","We start the project today.",3\
"servir","to serve","Sirven comida italiana.","They serve Italian food.",3\
"sacar","to take out","Sac\'f3 dinero del banco.","He/She took money out of the bank.",3\
"necesitar","to need","Necesitamos m\'e1s informaci\'f3n.","We need more information.",3\
"resultar","to result","El plan result\'f3 exitoso.","The plan turned out successful.",3\
"leer","to read","Lee el peri\'f3dico cada ma\'f1ana.","He/She reads the newspaper every morning.",3\
"caer","to fall","La lluvia cae suavemente.","The rain falls gently.",3\
"cambiar","to change","El clima cambia r\'e1pidamente.","The weather changes quickly.",3\
"presentar","to present","Present\'f3 su informe.","He/She presented his/her report.",3\
"crear","to create","Crearon una aplicaci\'f3n nueva.","They created a new application.",3\
"abrir","to open","Abre la puerta, por favor.","Open the door, please.",3\
"considerar","to consider","Consideramos todas las opciones.","We considered all options.",3\
"o\'edr","to hear","O\'edmos un ruido extra\'f1o.","We heard a strange noise.",3\
"acabar","to finish","Acab\'e9 mis tareas.","I finished my tasks.",3\
"convertir","to convert","Convertimos d\'f3lares a euros.","We convert dollars to euros.",3\
"ganar","to win/earn","Gan\'f3 el premio mayor.","He/She won the grand prize.",3\
"formar","to form","Formaron un equipo.","They formed a team.",3\
"traer","to bring","Traje flores para ti.","I brought flowers for you.",3\
"partir","to leave","Partimos al amanecer.","We left at dawn.",3\
"morir","to die","El \'e1rbol muri\'f3 sin agua.","The tree died without water.",3\
"aceptar","to accept","Aceptaron la oferta.","They accepted the offer.",3\
"realizar","to carry out","Realizamos un estudio.","We conducted a study.",3\
"suponer","to suppose","Supongo que est\'e1s listo.","I suppose you are ready.",3\
"comprender","to understand","Comprendemos las reglas.","We understand the rules.",3\
"lograr","to achieve","Logr\'f3 el r\'e9cord mundial.","He/She achieved the world record.",3\
"alcanzar","to reach","Alcanz\'f3 la meta final.","He/She reached the final goal.",3\
